Category,Subcategory,Note,Amount,Hour,DayOfWeek,Payment Mode
Transportation,Train,2 Place 5 to Place 0,30.0,12,Thursday,Cash
Food,snacks,Idli medu Vada mix 2 plates,60.0,12,Thursday,Cash
subscription,Netflix,1 month subscription,199.0,0,Wednesday,Other
subscription,Mobile Service Provider,Data booster pack,19.0,23,Monday,Other
Festivals,Ganesh Pujan,Ganesh idol,251.0,17,Sunday,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,200.0,6,Saturday,Card
Transportation,auto,Place 2 station to Permanent Residence,50.0,5,Friday,Cash
Transportation,Train,2 Place 0 to Place 3,40.0,21,Thursday,Other
Other,Other,HBR 2 Months subscription,83.0,21,Thursday,Card
Food,Grocery,1kg atta,46.0,21,Thursday,Cash
subscription,Mobile Service Provider,Data booster pack,667.0,0,Sunday,Card
Food,Lunch,Home Food Delivery,650.0,0,Friday,Other
Food,Milk,Half lit  milk,36.0,0,Friday,Cash
Food,Milk,Half lit  milk,36.0,0,Tuesday,Cash
Family,Pocket money,,40.0,0,Thursday,Cash
Food,Milk,Half lit  milk,37.0,0,Monday,Cash
Food,snacks,Amul butter,55.0,0,Saturday,Cash
Apparel,Laundry,11 clothes ironing,77.0,0,Wednesday,Cash
Food,snacks,Chinese Bhel,30.0,0,Wednesday,Cash
Food,snacks,Shev Puri,40.0,0,Wednesday,Cash
Food,snacks,2 kachori,24.0,0,Wednesday,Cash
Food,Milk,Half lit  milk,36.0,0,Wednesday,Other
Food,breakfast,Bread,18.0,0,Wednesday,Other
Family,Pocket money,,2000.0,0,Friday,Cash
Family,Pocket money,,1000.0,15,Friday,Cash
Gift,Other,farewell contribution,118.0,15,Friday,Cash
Food,Dinner,Domino's Pizza,510.85,10,Friday,Card
Food,Milk,Half lit  milk,36.0,9,Friday,Cash
Food,Sweets,Warna Srikhand pav kg,78.0,21,Thursday,Cash
Household,Kirana,Supermart,343.0,21,Thursday,Cash
Food,Grocery,Baking soda,27.0,12,Wednesday,Cash
Food,Ice cream,chocobar,15.0,12,Wednesday,Cash
Food,Milk,Half lit  milk,36.0,12,Wednesday,Cash
Food,curd,Dahi 2 packets,20.0,21,Monday,Cash
Food,breakfast,2 plates poha,60.0,10,Monday,Cash
Food,Biscuits,Khari packet,45.0,10,Monday,Cash
Food,Milk,Half lit  milk,36.0,10,Monday,Cash
Apparel,Laundry,13 clothes ironing,91.0,21,Saturday,Cash
Food,Dinner,Home Food Delivery,1120.0,22,Friday,Card
Food,Rajgira ladu,,20.0,20,Friday,Cash
Food,Milk,Half lit  milk,36.0,20,Friday,Cash
Festivals,Navratri,Ganpati+ navratri vargani,1000.0,13,Friday,Cash
Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,21,Thursday,Card
Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,21,Thursday,Card
Food,Lunch,Catering Service,60.0,19,Thursday,Other
Food,Milk,Half lit  milk,37.0,22,Wednesday,Cash
Food,Tea,cutting chai,12.0,16,Tuesday,Cash
Food,Milk,Half lit  milk,36.0,16,Tuesday,Cash
subscription,Netflix,1 month subscription,199.0,0,Sunday,Other
Food,curd,Dahi 2 packets,20.0,20,Friday,Other
Food,Milk,Half lit  milk,36.0,19,Friday,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,19,Thursday,Card
Food,Sweets,Warna Srikhand half kg,290.0,9,Wednesday,Cash
Food,flour mill,M D sure 4kg atta,216.0,9,Wednesday,Cash
Family,Pocket money,,30.0,10,Tuesday,Cash
Food,snacks,Dahi,32.0,9,Tuesday,Cash
Household,Kirana,Toothpaste Patanjali,160.0,9,Tuesday,Cash
Apparel,Laundry,8 clothes ironing,56.0,9,Tuesday,Cash
Food,Ice cream,Vanila family pack,115.0,9,Tuesday,Cash
Household,Appliances,5 litres can Distilled water,100.0,18,Monday,Cash
Household,home decor,Brass Puja plate and diva,220.0,18,Monday,Cash
Food,Grocery,Half kg Lahsoon,45.0,18,Monday,Cash
Household,Kirana,Supermart,594.0,18,Monday,Cash
Food,Ice cream,Vanila cup,10.0,10,Monday,Cash
Food,Ice cream,chocobar,20.0,10,Monday,Cash
Food,snacks,8 kachori,96.0,0,Thursday,Cash
Family,Pocket money,,35.0,0,Monday,Cash
Beauty,grooming,hair cut,100.0,0,Friday,Cash
Family,Pocket money,,100.0,0,Tuesday,Cash
Food,Tea,cutting chai,10.0,0,Tuesday,Cash
Health,Health,eyewear Glasses payment remaining,4300.0,0,Tuesday,Card
Apparel,Clothing,For Family,3410.0,0,Tuesday,Card
Transportation,Train,Place 0 to Place 4 return,20.0,0,Tuesday,Cash
Transportation,auto,Current Residence to Place 0,15.0,0,Tuesday,Cash
Family,clothes,Bows,398.0,0,Tuesday,Card
Family,Pocket money,,2000.0,0,Thursday,Cash
Household,Kirana,Supermart,18.0,0,Thursday,Cash
Food,flour mill,M D sure 4kg atta,216.0,0,Thursday,Cash
Health,Health,eyewear Glasses advance,1000.0,0,Thursday,Cash
Family,Pocket money,,40.0,0,Monday,Cash
Apparel,Laundry,13 clothes ironing,91.0,21,Tuesday,Cash
Money transfer,Home,,30000.0,18,Tuesday,Other
maid,Other,July salary,2000.0,13,Tuesday,Cash
Food,chocolate,10 melody,10.0,13,Tuesday,Cash
Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),100.0,18,Monday,Cash
Health,Medicine,,132.0,13,Monday,Cash
Food,Lunch,Catering Service,212.0,13,Monday,Other
Food,breakfast,1 plates poha,25.0,11,Monday,Cash
Food,Eating out,Paneer pizza,260.0,19,Sunday,Other
Transportation,auto,Decathlon Place A to Place A station,50.0,15,Sunday,Cash
Transportation,auto,Current Residence to Place 0,15.0,11,Sunday,Cash
Transportation,Train,2 Place 0 to Place A returns,40.0,11,Sunday,Other
Food,breakfast,Medu vada 3 plate,105.0,10,Sunday,Cash
Family,Pocket money,,200.0,23,Saturday,Cash
Culture,Movie,2 INOX ,481.36,23,Saturday,Card
Food,vegetables,,195.0,21,Saturday,Cash
Household,Kirana,Supermart,3750.0,20,Saturday,Card
Other,Other,Demat account charges,826.0,18,Friday,Other
Food,Biscuits,Toast packet,40.0,23,Thursday,Cash
subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,12,Monday,Card
Food,breakfast,4 plates poha,100.0,12,Monday,Cash
Household,Kirana,Supermart,368.0,19,Saturday,Cash
Food,fruits,Khajur pav kg,30.0,19,Saturday,Cash
Food,snacks,2 Bhajipav + 2 vadapav,60.0,18,Saturday,Other
Food,Biscuits,Toast packet,45.0,8,Saturday,Cash
Food,Ice cream,chocobar,20.0,19,Friday,Cash
Food,Potato,potato 1kg,25.0,19,Friday,Cash
Food,Onions,onion 1 kg,25.0,19,Friday,Cash
