Category,Subcategory,Note,Amount,Hour,DayOfWeek,Payment Mode
transportation,81,97,-0.22661238990961072,12,4,1
food,74,513,-0.21879400056144754,12,4,1
subscription,59,16,-0.1825687965816248,0,6,2
subscription,55,365,-0.22947913267060388,23,1,2
festivals,30,448,-0.1690169217114753,17,3,1
subscription,77,720,-0.1823081836033527,6,2,0
transportation,4,761,-0.2214001303441686,5,0,1
transportation,81,76,-0.22400626012688965,21,4,2
other,62,496,-0.2127999020611891,21,4,0
food,32,35,-0.22244258225725702,21,4,1
subscription,55,365,-0.060601922750279216,0,3,0
food,49,502,-0.06503234338090502,0,0,2
food,53,486,-0.2250487120399781,0,0,1
food,53,486,-0.2250487120399781,0,5,1
family,65,1011,-0.22400626012688965,0,4,1
food,53,486,-0.224788099061706,0,1,1
food,74,196,-0.22009706545280808,0,2,1
apparel,46,29,-0.21436357993082175,0,6,1
food,74,310,-0.22661238990961072,0,6,1
food,74,866,-0.22400626012688965,0,6,1
food,74,61,-0.22817606777924335,0,6,1
food,53,486,-0.2250487120399781,0,6,2
food,10,260,-0.229739745648876,0,6,2
family,65,1011,0.286795177286438,0,0,1
family,65,1011,0.02618219901433207,15,0,1
gift,62,418,-0.2036784478216654,15,0,1
food,18,382,-0.10129663930746856,10,0,0
food,53,486,-0.2250487120399781,9,0,1
food,76,999,-0.21410296695254963,21,4,1
household,43,910,-0.14504052771044154,21,4,1
food,32,223,-0.22739422884442703,12,6,1
food,41,313,-0.23052158458369232,12,6,1
food,53,486,-0.2250487120399781,12,6,1
food,17,360,-0.22921851969233178,21,1,1
food,10,101,-0.21879400056144754,10,1,1
food,7,541,-0.22270319523552914,10,1,1
food,53,486,-0.2250487120399781,10,1,1
apparel,46,32,-0.21071499823501225,21,2,1
food,18,502,0.05745575640698478,22,0,0
food,68,1011,-0.22921851969233178,20,0,1
food,53,486,-0.2250487120399781,20,0,1
festivals,58,450,0.02618219901433207,13,0,1
transportation,81,92,0.10577340257863325,21,4,0
transportation,81,93,0.07971210475142267,21,4,0
food,49,282,-0.21879400056144754,19,4,2
food,53,486,-0.224788099061706,22,6,1
food,79,353,-0.23130342351850863,16,5,1
food,53,486,-0.2250487120399781,16,5,1
subscription,59,16,-0.1825687965816248,0,3,2
food,17,360,-0.22921851969233178,20,0,2
food,53,486,-0.2250487120399781,19,0,1
subscription,77,720,-0.19351454166905327,19,4,0
food,76,998,-0.15885301555886316,9,6,1
food,25,579,-0.17813837595099902,9,6,1
family,65,1011,-0.22661238990961072,10,5,1
food,74,357,-0.2260911639530665,9,5,1
household,43,951,-0.19273270273423695,9,5,1
apparel,46,175,-0.21983645247453595,9,5,1
food,41,980,-0.2044602867564817,9,5,1
household,2,160,-0.2083694814305633,18,1,1
household,38,259,-0.17709592403791058,18,1,1
food,32,480,-0.22270319523552914,18,1,1
household,43,910,-0.07962667016414296,18,1,1
food,41,979,-0.23182464947505285,10,1,1
food,41,313,-0.22921851969233178,10,1,1
food,74,176,-0.20941193334365174,0,4,1
family,65,1011,-0.22530932501825018,0,1,1
beauty,33,475,-0.2083694814305633,0,0,1
family,65,1011,-0.2083694814305633,0,5,1
food,79,353,-0.23182464947505285,0,5,1
health,35,407,0.8862050273122818,0,5,0
apparel,15,435,0.6542594766501074,0,5,0
transportation,81,745,-0.22921851969233178,0,5,1
transportation,4,350,-0.23052158458369232,0,5,1
family,14,257,-0.13070681390547573,0,5,0
family,65,1011,0.286795177286438,0,4,1
household,43,910,-0.229739745648876,0,4,1
food,25,579,-0.17813837595099902,0,4,1
health,35,406,0.02618219901433207,0,4,1
family,65,1011,-0.22400626012688965,0,1,1
apparel,46,32,-0.21071499823501225,21,5,1
money transfer,37,1011,7.583958568905405,18,5,2
maid,62,530,0.286795177286438,13,5,1
food,13,28,-0.23182464947505285,13,5,1
health,52,463,-0.2083694814305633,18,1,1
health,52,1011,-0.2000298661258559,13,1,1
food,49,282,-0.17918082786408743,13,1,2
food,10,21,-0.22791545480097125,11,1,1
food,20,697,-0.16667140490702634,19,3,2
transportation,4,366,-0.2214001303441686,15,3,1
transportation,4,350,-0.23052158458369232,11,3,1
transportation,81,80,-0.22400626012688965,11,3,2
food,10,603,-0.20706641653920277,10,3,1
family,65,1011,-0.1823081836033527,23,2,1
culture,56,59,-0.10898211603671297,23,2,0
food,85,1011,-0.18361124849471325,21,2,1
household,43,910,0.7428678892626235,20,2,0
other,62,369,-0.01916445920501437,18,0,2
food,7,943,-0.22400626012688965,23,4,1
subscription,77,348,-0.19429638060386958,12,1,0
food,10,154,-0.2083694814305633,12,1,1
household,43,910,-0.1385252032536389,19,2,1
food,27,539,-0.22661238990961072,19,2,1
food,74,43,-0.21879400056144754,18,2,2
food,7,943,-0.22270319523552914,8,2,1
food,41,313,-0.22921851969233178,19,0,1
food,66,788,-0.22791545480097125,19,0,1
food,61,677,-0.22791545480097125,19,0,1
transportation,78,675,-0.1940357676255975,13,0,2
health,52,281,-0.21175745014810068,12,0,1
health,52,281,0.038691621971393156,9,0,0
food,17,361,-0.22400626012688965,20,4,1
food,25,579,-0.17813837595099902,20,6,1
apparel,46,30,-0.212539289082917,17,1,1
household,34,887,0.0756986648860322,10,1,0
food,74,172,-0.212539289082917,10,1,1
food,27,1011,-0.22661238990961072,19,3,1
food,85,1011,-0.10412429012172092,18,3,1
food,74,151,-0.2219213563007128,9,3,1
other,62,271,0.286795177286438,18,2,2
transportation,78,675,-0.18543553934261797,14,0,2
health,52,281,0.119481645235746,9,0,0
food,22,167,-0.22530932501825018,0,0,1
food,9,45,-0.21957583949626386,0,6,1
transportation,64,147,-0.14061010707981575,0,0,1
food,7,943,-0.22921851969233178,0,0,1
food,32,865,-0.21879400056144754,0,0,1
transportation,78,675,-0.1862173782774343,0,5,1
food,79,131,-0.22661238990961072,0,5,2
health,52,403,-0.19455699358214168,0,5,0
health,39,506,-0.10412429012172092,0,5,1
transportation,78,672,-0.20055109208240013,0,5,1
transportation,78,937,-0.05851701892410237,0,5,2
transportation,81,771,-0.23182464947505285,0,2,1
food,49,209,-0.2339095533012297,0,2,0
subscription,50,1011,-0.18335063551644112,0,2,2
food,18,209,-0.036364915770973366,0,4,1
transportation,78,703,-0.2083694814305633,0,4,1
transportation,4,933,-0.2127999020611891,0,1,1
food,79,353,-0.23260648840986917,0,1,1
transportation,4,350,-0.23052158458369232,0,1,1
transportation,81,748,-0.22921851969233178,0,1,1
health,39,381,-0.2083694814305633,0,2,1
beauty,33,861,-0.2214001303441686,0,2,1
family,65,1011,-0.14321623686253682,0,2,1
health,45,115,0.1408519094540587,0,2,2
maid,62,1011,-0.10412429012172092,0,6,1
food,53,486,-0.2250487120399781,0,6,2
subscription,77,348,-0.19429638060386958,0,6,0
household,43,910,0.18124692108623514,0,6,2
transportation,4,757,-0.2214001303441686,0,6,1
transportation,11,98,-0.22921851969233178,0,6,1
household,38,410,-0.07128705485943557,0,6,0
transportation,11,86,-0.22765484182269916,0,6,1
transportation,4,351,-0.22400626012688965,0,6,1
culture,56,102,-0.11428819627433305,0,3,0
transportation,82,91,0.25812774967650637,0,3,0
food,74,977,-0.23052158458369232,0,3,2
